Name,ProjectedFP,flag,IDfg,flag_value
Joey Cantillo,134.69757214559996,Low projected PA/IP (injury/role concern),—,95.1
Jeremiah Estrada,134.5235252977778,Low projected PA/IP (injury/role concern),—,73.0
Bryan Abreu,132.6585440367,Low projected PA/IP (injury/role concern),—,71.0
Kody Clemens,132.61605392598057,Low projected PA/IP (injury/role concern),—,159.6
Lenyn Sosa,132.18003949577655,Low projected PA/IP (injury/role concern),—,230.492
Blake Snell,131.59479099000004,Low projected PA/IP (injury/role concern),—,61.1
Clarke Schmidt,131.26452702955558,Low projected PA/IP (injury/role concern),—,78.2
Edgar Quero,131.18473646157003,Low projected PA/IP (injury/role concern),—,240.356
Eduard Bazardo,130.61227280284447,Low projected PA/IP (injury/role concern),—,78.2
Mason Miller,128.60385025600002,Low projected PA/IP (injury/role concern),—,61.2
David Bednar,128.23862151222227,Low projected PA/IP (injury/role concern),—,62.2
Carlos Santana,128.1657499332387,Low projected PA/IP (injury/role concern),—,227.983
Carlos Santana,128.1657499332387,Age 40 — heightened decline risk,,40.0
Carmen Mlodzinski,128.09839806280004,Low projected PA/IP (injury/role concern),—,99.0
Cam Smith,127.79533147992969,Low projected PA/IP (injury/role concern),—,172.214
Dane Myers,126.95108135684481,Low projected PA/IP (injury/role concern),—,139.858
Rob Refsnyder,126.7751402887366,Age 35 — heightened decline risk,,35.0
Adrian Morejon,126.20445704533337,Low projected PA/IP (injury/role concern),—,73.2
Edwin Uceta,125.36287714133334,Low projected PA/IP (injury/role concern),—,76.0
Sean Manaea,125.18949654866665,Low projected PA/IP (injury/role concern),—,60.2
Josh Hader,124.8196465296,Low projected PA/IP (injury/role concern),—,52.2
Aroldis Chapman,124.70038946698668,Age 38 — heightened decline risk,,38.1
Aroldis Chapman,124.70038946698668,Low projected PA/IP (injury/role concern),—,61.1
Oswald Peraza,124.53107691806073,Low projected PA/IP (injury/role concern),—,95.9993
Mitch Spence,123.97932076444445,Low projected PA/IP (injury/role concern),—,84.2
Myles Straw,123.96449232035786,Low projected PA/IP (injury/role concern),—,60.7703
Tyler Alexander,123.838878456,Low projected PA/IP (injury/role concern),—,97.2
Tyler Mahle,123.60034848944444,Low projected PA/IP (injury/role concern),—,86.2
Michael McGreevy,122.0888267896889,Low projected PA/IP (injury/role concern),—,95.2
Ryan Mountcastle,121.91647292028978,Low projected PA/IP (injury/role concern),—,162.266
Camilo Doval,121.17600422199999,Low projected PA/IP (injury/role concern),—,65.1
Tommy Pham,120.4223813996486,Low projected PA/IP (injury/role concern),—,171.29
Tommy Pham,120.4223813996486,Age 38 — heightened decline risk,,38.1
Eli White,119.8837729140146,Low projected PA/IP (injury/role concern),—,46.9042
Keider Montero,118.07886831253334,Low projected PA/IP (injury/role concern),—,90.2
Dennis Santana,118.03030828044443,Low projected PA/IP (injury/role concern),—,70.1
Javier Baez,117.96300152324484,Low projected PA/IP (injury/role concern),—,186.813
Austin Hays,117.70145296700909,Low projected PA/IP (injury/role concern),—,143.394
Isiah Kiner-Falefa,117.40671944892482,Low projected PA/IP (injury/role concern),—,168.954
Nolan Jones,116.58260282862294,Low projected PA/IP (injury/role concern),—,173.336
Javier Sanoja,116.49739641070002,Low projected PA/IP (injury/role concern),—,183.96
Max Scherzer,116.44057419511111,Age 42 — heightened decline risk,,41.7
Max Scherzer,116.44057419511111,Low projected PA/IP (injury/role concern),—,85.0
Jack Dreyer,115.60132677555553,Low projected PA/IP (injury/role concern),—,76.1
Ryan Walker,115.10520877847333,Low projected PA/IP (injury/role concern),—,61.1
Will Vest,113.7514832784,Low projected PA/IP (injury/role concern),—,68.2
Joey Wentz,112.82926036666666,Low projected PA/IP (injury/role concern),—,98.0
Kenley Jansen,111.95421755555559,Age 38 — heightened decline risk,,38.5
Kenley Jansen,111.95421755555559,Low projected PA/IP (injury/role concern),—,59.0
Jose Iglesias,111.78202229663574,Low projected PA/IP (injury/role concern),—,181.402
Jose Iglesias,111.78202229663574,Age 36 — heightened decline risk,,36.2
Lake Bachar,111.77082873555554,Low projected PA/IP (injury/role concern),—,71.0
