playerid,PA
18482.0,1.0
17736.0,1.0
21293.0,1.0
10264.0,1.0
4892.0,1.0
10030.0,1.0
19828.0,1.0
20540.0,3.86579
12981.0,1.0
16623.0,1.0
4940.0,9.3849
25814.0,1.0
19432.0,1.19493
15124.0,1.0
3174.0,1.0
5343.0,5.91023
14137.0,1.0
15994.0,1.0
11339.0,1.0
5297.0,5.91023
19552.0,1.0
19533.0,1.0
12546.0,1.0
20078.0,1.0
11470.0,1.0
8418.0,1.89218
8202.0,1.0
18899.0,1.0
19968.0,1.0
11379.0,1.0
12937.0,1.0
24491.0,1.0
13075.0,1.0
12325.0,1.80798
15104.0,1.0
11472.0,1.0
15223.0,163.744
15697.0,1.0
15189.0,1.0
11381.0,1.0
20047.0,1.0
13633.0,1.0
24782.0,17.4934
27461.0,1.0
16909.0,1.0
19878.0,1.0
5452.0,1.0
11905.0,1.0
17710.0,1.0
17473.0,1.0
19212.0,1.0
9256.0,1.0
26295.0,13.1555
22045.0,2.51959
10047.0,1.0
11155.0,1.0
20510.0,1.0
9952.0,1.0
16417.0,25.486
12164.0,9.63915
10556.0,1.0
12649.0,1.0
12434.0,12.4233
13546.0,1.0
5273.0,1.0
15983.0,1.0
30028.0,8.74751
19703.0,1.0
27459.0,1.0
9929.0,1.0
19644.0,1.0
12179.0,1.0
12775.0,1.0
17719.0,1.0
10762.0,1.0
13329.0,1.0
15676.0,1.0
19562.0,14.0267
19643.0,11.0483
22471.0,8.94596
19477.0,1.0
12907.0,1.0
14885.0,1.0
23264.0,4.01289
13359.0,1.0
15214.0,1.0
19667.0,1.0
14938.0,1.0
15117.0,1.0
25524.0,13.4689
22093.0,1.0
17216.0,1.0
5663.0,1.0
14735.0,1.0
16375.0,2.6344
26244.0,3.95844
16593.0,1.15489
11602.0,1.79326
13367.0,1.0
25467.0,3.515
3516.0,1.0
25459.0,1.0
25855.0,3.08263
19683.0,2.88421
18497.0,1.0
25813.0,5.4068
11342.0,1.0
19938.0,1.0
20040.0,1.0
1744.0,1.0
16524.0,1.0
19872.0,1.0
20122.0,2.67275
16686.0,13.1887
27543.0,3.56198
26536.0,10.3182
27599.0,15.7499
15082.0,1.0
16221.0,1.0
25434.0,3.95844
12984.0,1.0
21535.0,2.50574
13836.0,3.24449
16434.0,4.9416
17975.0,8.63274
2136.0,6.51426
19928.0,9.45545
5497.0,1.0
29912.0,13.5403
20926.0,2.58606
16448.0,1.0
15730.0,44.2427
30011.0,44.3062
22232.0,52.6388
20493.0,1.78217
21078.0,12.9542
21270.0,11.4419
13369.0,1.79326
25844.0,2.08639
16496.0,12.3035
9627.0,6.40373
13853.0,4.58283
28552.0,9.53398
19910.0,12.2274
17992.0,3.00603
26148.0,5.46546
18587.0,7.93788
14196.0,4.38773
19384.0,7.76636
15937.0,5.88062
22261.0,5.48595
24671.0,1.0
20242.0,1.92451
12005.0,6.51804
23552.0,1.0
11200.0,4.98009
25476.0,3.04428
20056.0,15.1176
13723.0,12.0693
17766.0,16.6255
25817.0,12.1262
8623.0,12.1078
24451.0,7.21223
21871.0,91.6975
19768.0,9.49786
29830.0,8.21548
25138.0,7.21223
25505.0,7.95328
20543.0,32.425
15654.0,8.68272
20557.0,6.0361
12160.0,64.2134
24496.0,12.8455
19422.0,10.6538
13744.0,10.3409
18316.0,6.88929
12147.0,9.3849
5254.0,9.3849
23790.0,20.4639
17326.0,13.2039
23250.0,2.51959
31522.0,35.1777
14128.0,13.9212
29782.0,19.3665
10950.0,12.4233
15279.0,5.83546
27471.0,17.7239
29573.0,34.124
27784.0,15.6333
19717.0,7.29117
13750.0,8.26067
19198.0,7.16731
23557.0,6.4107
8090.0,5.59476
18289.0,6.64638
21497.0,14.3256
19788.0,13.1463
21682.0,13.0291
25005.0,27.7078
5760.0,5.77307
25867.0,104.765
21635.0,10.7381
33098.0,8.37242
5235.0,145.62
19983.0,4.98528
25448.0,6.5747
27698.0,3.59952
19931.0,13.9388
14274.0,15.4774
6887.0,5.91023
17838.0,19.9798
18063.0,9.66546
19273.0,6.8275
14712.0,57.7144
6184.0,31.1161
22117.0,16.9616
15585.0,11.0119
29524.0,194.121
15149.0,21.962
22165.0,161.449
14387.0,17.9613
25183.0,17.8893
13663.0,11.7792
16337.0,18.1888
14109.0,20.11
22557.0,42.5196
17484.0,65.6412
24597.0,16.9086
25111.0,13.1664
25055.0,66.0182
31567.0,51.8914
19948.0,29.9485
19966.0,15.5282
12155.0,14.3812
20054.0,14.2171
18395.0,13.3706
22766.0,36.8016
30162.0,22.8697
27845.0,45.7423
13757.0,88.3935
19262.0,51.5804
18607.0,11.2101
10441.0,19.5058
23788.0,25.5914
18821.0,33.1036
25845.0,42.2777
26469.0,35.103
27781.0,53.6121
18433.0,16.9426
14366.0,68.6121
19600.0,82.3535
20157.0,22.8103
26143.0,220.865
15429.0,54.978
13621.0,104.316
15653.0,185.213
