playerid,GS,IP
21520.0,0.0,66.0
31553.0,0.0,42.0
16350.0,0.0,21.0
22533.0,0.0,18.0
23292.0,0.0,14.0
32026.0,0.0,24.0
18403.0,0.0,60.0
30105.0,0.0,79.0
33248.0,0.0,42.0
20546.0,0.0,56.0
17735.0,1.62,66.7568
21420.0,0.0,42.0
26079.0,0.0,50.0
11384.0,0.0,48.0
23165.0,0.0,45.0
18439.0,0.0,20.0
19646.0,0.0,40.0
27707.0,0.0,16.0
26413.0,0.0,28.0
25501.0,0.0,46.0
22713.0,0.0,18.0
29107.0,0.0,52.0
21205.0,0.0,52.0
17964.0,0.0,31.0
6655.0,0.0,34.0
26463.0,0.0,20.0
19614.0,0.0,57.0
19481.0,0.0,52.0
16561.0,1.62,8.8507
11804.0,0.0,22.0
33821.0,0.0,20.0
21662.0,0.0,58.0
13892.0,0.0,58.0
27487.0,1.62,22.8029
13133.0,0.0,24.0
27483.0,0.0,22.0
30004.0,3.24,25.487
33826.0,0.0,48.0
30142.0,1.62,34.1273
33294.0,0.0,42.0
23150.0,0.0,16.0
27765.0,0.0,24.0
21319.0,0.0,6.0
18864.0,1.62,39.1507
25386.0,0.0,18.0
13218.0,0.0,13.0
23455.0,0.0,24.0
20333.0,0.0,32.0
17888.0,0.0,32.0
29960.0,0.0,8.0
24737.0,0.0,24.0
19312.0,1.62,8.4515
16061.0,0.0,8.0
30031.0,1.62,33.0807
19320.0,0.0,38.0
33908.0,0.0,34.0
6175.0,0.0,25.0
30084.0,0.0,15.0
20271.0,0.0,33.0
33628.0,1.62,9.0841
19330.0,0.0,58.0
14332.0,0.0,53.0
19795.0,0.0,55.0
25918.0,0.0,12.0
15043.0,0.0,20.0
25550.0,1.62,9.1046
19222.0,0.0,48.0
23779.0,0.0,54.0
24930.0,0.0,42.0
30180.0,3.24,68.1543
20385.0,0.0,64.0
25589.0,0.0,10.0
10591.0,0.0,32.0
31616.0,0.0,58.0
27649.0,0.0,56.0
33568.0,0.0,56.0
19524.0,1.62,20.234
20185.0,0.0,24.0
18337.0,0.0,24.0
26443.0,6.48,36.3229
30085.0,0.0,55.0
23488.0,0.0,44.0
16074.0,0.0,8.0
31261.0,0.0,40.0
29519.0,0.0,58.0
21584.0,0.0,21.0
11752.0,0.0,40.0
27984.0,0.0,10.0
15467.0,1.62,9.0626
23313.0,0.0,64.0
31989.0,1.62,19.1668
19337.0,0.0,8.0
26304.0,0.0,10.0
10315.0,0.0,33.0
12056.0,0.0,24.0
19932.0,0.0,16.0
14527.0,0.0,30.0
26257.0,0.0,42.0
27681.0,0.0,10.0
21032.0,0.0,1.0
24914.0,0.0,21.0
9761.0,0.0,1.0
26429.0,0.0,24.0
17969.0,0.0,12.0
24581.0,0.0,18.0
22387.0,0.0,1.0
27695.0,0.0,1.0
8241.0,0.0,1.0
23974.0,0.0,1.0
19586.0,0.0,1.0
16814.0,0.0,66.0
24094.0,0.0,1.0
23055.0,0.0,1.0
15690.0,0.0107,1.0
33834.0,0.0,38.0
23221.0,0.0102,1.0
16866.0,0.0032,1.0
5097.0,0.0,1.0
6576.0,0.0,1.0
23307.0,0.0,14.0
18186.0,0.0,1.0
19871.0,0.0,8.0
17536.0,0.0,1.0
12972.0,0.0,12.0
7005.0,0.0,1.0
23809.0,0.0602,1.0
23293.0,0.0,1.0
20802.0,0.0,1.0
30145.0,0.0,23.0
21065.0,0.034,1.0
17793.0,0.0,1.0
29615.0,0.0,52.0
20491.0,0.0,1.0
21620.0,0.0,1.0
14681.0,0.0,1.0
16507.0,0.0,26.0
11121.0,1.62,9.234
24977.0,0.0,1.0
17359.0,0.01,1.0
14857.0,0.0,1.0
21481.0,0.0428,1.0
7146.0,0.0,1.0
18421.0,0.0,1.0
19459.0,0.0,1.0
3184.0,0.0,1.0
15915.0,0.0,1.0
17369.0,0.0035,1.0
17169.0,0.0,1.0
18593.0,0.0,1.0
21453.0,0.0,8.0
19848.0,0.0,1.0
24750.0,0.0,1.0
19225.0,0.0,1.0
19995.0,0.0,1.0
19558.0,0.0,1.0
15100.0,0.0,1.0
23162.0,0.0,50.0
13607.0,0.0,1.0
10197.0,0.0,1.0
15488.0,8.1,94.877
20205.0,0.0,1.0
18792.0,0.0,1.0
16440.0,0.0,1.0
27590.0,0.0,11.0
25873.0,0.0,1.0
16300.0,0.0,1.0
15264.0,0.0,1.0
11487.0,0.0,1.0
20231.0,0.0,1.0
27624.0,0.0132,1.0
18674.0,0.0,1.0
14764.0,0.0,1.0
23617.0,0.0,1.0
5448.0,0.0,1.0
20167.0,0.0,1.0
6399.0,0.0,1.0
19951.0,0.0,1.0
14375.0,0.0,1.0
21025.0,0.0,1.0
24493.0,0.0,1.0
16703.0,0.0,1.0
18496.0,0.0,1.0
21866.0,0.0,1.0
24590.0,0.0,1.0
1246.0,0.0,1.0
15968.0,0.0,1.0
5365.0,0.0,1.0
14825.0,0.0026,1.0
23324.0,0.0,1.0
4185.0,0.0,1.0
25178.0,0.0,1.0
15849.0,0.0,1.0
13767.0,0.0,1.0
25645.0,0.0,1.0
11760.0,0.0,1.0
21189.0,0.0,1.0
12808.0,1.62,39.0731
20298.0,0.0,1.0
16135.0,0.0,1.0
18325.0,0.0,1.0
1247.0,0.0,1.0
18318.0,0.0702,1.0
14416.0,0.0,16.0
21238.0,0.0814,1.0
14646.0,0.0,1.0
7982.0,0.0,1.0
21652.0,0.0342,1.0
26344.0,0.0,1.0
9784.0,0.0123,1.0
20617.0,0.0,1.0
22176.0,0.0,40.0
13528.0,0.0,1.0
21092.0,0.0,1.0
17759.0,0.0,1.0
19940.0,0.0,1.0
16587.0,0.0,1.0
25553.0,0.0,1.0
23091.0,0.0,1.0
12784.0,0.0,1.0
17281.0,0.0,1.0
27608.0,0.0,12.0
22982.0,0.0,1.0
13050.0,0.0619,1.0
10343.0,0.0,1.0
20009.0,0.0244,1.0
18311.0,0.0,1.0
16942.0,0.0,1.0
20023.0,0.0,56.0
17464.0,0.0095,1.0
12910.0,0.0,1.0
21922.0,0.0,1.0
14696.0,0.0,1.0
18769.0,0.0,1.0
14552.0,0.0,1.0
21229.0,0.0,1.0
19835.0,0.0,1.0
11176.0,0.0,1.0
19200.0,0.0,1.0
5003.0,0.0,1.0
4994.0,0.0,1.0
16279.0,0.0,1.0
21541.0,0.0619,1.0
25078.0,0.0,1.0
19805.0,0.0,1.0
31751.0,0.0,1.0
27812.0,0.0,1.0
21858.0,0.0,1.0
7738.0,0.0091,1.0
19454.0,0.0,1.0
18347.0,0.0168,1.0
13424.0,0.0,1.0
17796.0,0.0,1.0
19285.0,0.0,1.0
12997.0,0.0,1.0
19264.0,0.0258,1.0
14420.0,0.0,1.0
14510.0,0.0,1.0
17871.0,0.0,1.0
23391.0,0.0,1.0
19868.0,0.0,1.0
9013.0,0.0,1.0
22175.0,0.0,1.0
22284.0,0.0237,1.0
12673.0,0.0,1.0
24606.0,0.0,1.0
21955.0,0.0,1.0
15369.0,0.0,1.0
33168.0,0.0,8.0
18384.0,0.0,12.0
13276.0,0.0,1.0
17304.0,0.0,1.0
8801.0,0.0,1.0
11209.0,0.0,1.0
14665.0,0.0,1.0
15068.0,0.0,1.0
22116.0,0.0,1.0
26136.0,0.0,1.0
27942.0,0.0,1.0
20038.0,0.0,1.0
20206.0,0.0,1.0
2895.0,0.0,1.0
22810.0,0.0,1.0
18498.0,0.0,1.0
18592.0,0.0,1.0
21018.0,0.0105,1.0
8337.0,0.0,1.0
13394.0,0.0,1.0
19456.0,0.0128,1.0
6483.0,0.0,1.0
22370.0,0.0,1.0
26285.0,0.0,1.0
13801.0,0.0,1.0
33828.0,0.0,1.0
21310.0,0.0,1.0
25388.0,0.0,1.0
26203.0,0.0,1.0
7432.0,0.0,1.0
19535.0,0.0,1.0
21183.0,0.0,1.0
10066.0,0.0,1.0
17860.0,0.0,1.0
21324.0,0.0,1.0
26790.0,0.0,26.0
17034.0,0.0,1.0
18333.0,0.0,1.0
19159.0,0.0,1.0
26024.0,0.0086,1.0
7274.0,0.013,1.0
19736.0,0.0121,1.0
14288.0,0.0,1.0
23631.0,0.0,1.0
15832.0,0.0,1.0
17186.0,0.0,1.0
23252.0,0.0625,1.0
20080.0,0.0,1.0
13763.0,0.0,1.0
19874.0,0.0254,1.0
11437.0,0.0,1.0
18282.0,0.0,1.0
18815.0,0.0,1.0
15605.0,0.0,1.0
18806.0,0.0,1.0
19529.0,0.0,1.0
25420.0,0.0,57.0
19820.0,0.0,1.0
17085.0,0.1754,1.0
6562.0,0.1195,1.0
24968.0,0.1754,1.0
26056.0,0.1754,1.0
21318.0,0.1754,1.0
19879.0,0.1754,1.0
2036.0,0.1684,1.0
19665.0,0.1453,1.0
13074.0,0.1714,1.0
20395.0,0.1072,1.0
19546.0,0.1754,1.0
15792.0,0.1096,1.0
14844.0,0.1754,1.0
11694.0,0.1754,1.0
4676.0,0.1554,1.0
10123.0,0.1754,1.0
23735.0,0.1754,1.0
14765.0,0.1754,1.0
11157.0,0.1754,1.0
27646.0,0.1754,1.0
14309.0,0.1528,1.0
14444.0,0.1754,1.0
2520.0,0.1754,1.0
24602.0,0.1754,1.0
19388.0,0.1754,1.0
20638.0,0.1754,1.0
27451.0,0.174,1.0
17874.0,0.1754,1.0
17030.0,0.1754,1.0
9434.0,0.1754,1.0
20370.0,0.1754,1.0
27505.0,0.1579,1.0
11828.0,0.1754,1.0
15688.0,0.1754,1.0
20468.0,0.1754,1.0
19865.0,0.1539,1.0
12499.0,0.1754,1.0
1943.0,0.1614,1.0
16401.0,0.1754,1.0
19680.0,0.1393,1.0
26058.0,0.1418,1.0
11776.0,0.1688,1.0
15423.0,0.167,1.0
31900.0,0.1754,1.0
17581.0,0.1754,1.0
30661.0,0.1754,1.0
13781.0,0.1754,1.0
13046.0,0.1567,1.0
20548.0,0.1754,1.0
13273.0,0.1488,1.0
33699.0,0.1689,1.0
14361.0,0.1386,1.0
12272.0,0.1426,1.0
2429.0,0.133,1.0
6632.0,0.1572,1.0
19675.0,0.1465,1.0
20430.0,0.1272,1.0
8004.0,0.1682,1.0
12049.0,0.1754,1.0
23191.0,0.1754,1.0
12703.0,0.1754,1.0
30203.0,0.1754,1.0
6797.0,0.1754,1.0
20565.0,0.1754,1.0
26190.0,0.1754,1.0
12790.0,0.1754,1.0
14391.0,0.1754,1.0
16904.0,0.1754,1.0
16017.0,0.1742,1.0
4806.0,0.1754,1.0
17732.0,0.1342,1.0
5257.0,0.1754,1.0
6345.0,0.1754,1.0
2233.0,0.1754,1.0
20369.0,0.1754,1.0
20132.0,0.1754,1.0
12699.0,0.1754,1.0
22092.0,0.1644,1.0
15463.0,0.1754,1.0
13684.0,0.1432,1.0
4776.0,0.1474,1.0
29832.0,0.1754,1.0
14932.0,0.1754,1.0
27458.0,0.1589,1.0
17489.0,0.1754,1.0
25928.0,0.124,1.0
14862.0,0.1579,1.0
5372.0,0.1754,1.0
15764.0,0.1754,1.0
6893.0,0.1754,1.0
11762.0,0.1754,1.0
13183.0,0.1754,1.0
19206.0,0.1754,1.0
16269.0,0.1754,1.0
10732.0,0.1493,1.0
27685.0,0.1228,1.0
18699.0,0.1754,1.0
19269.0,0.1754,1.0
16106.0,0.1739,1.0
19705.0,0.1272,1.0
1994.0,0.1754,1.0
19671.0,0.1716,1.0
4001.0,0.1754,1.0
18376.0,0.1754,1.0
13339.0,0.166,1.0
12917.0,0.1754,1.0
6397.0,0.1705,1.0
19244.0,0.1312,1.0
11490.0,0.1296,1.0
9460.0,0.1733,1.0
4869.0,0.1712,1.0
10021.0,0.1754,1.0
29823.0,0.1754,1.0
13345.0,0.1688,1.0
3542.0,0.1726,1.0
27582.0,0.1579,1.0
20237.0,0.1754,1.0
18331.0,0.1677,1.0
19457.0,0.1754,1.0
3284.0,0.1754,1.0
19979.0,0.1754,1.0
7608.0,0.1754,1.0
19268.0,0.1754,1.0
5524.0,0.1754,1.0
23465.0,0.1216,1.0
25777.0,0.1653,1.0
20739.0,0.1754,1.0
16125.0,0.1754,1.0
12664.0,0.1754,1.0
25650.0,0.1188,1.0
20175.0,0.1732,1.0
13331.0,0.1754,1.0
26171.0,0.1754,1.0
29833.0,0.1591,1.0
19712.0,0.0,1.0
9111.0,0.0,1.0
13287.0,0.0,1.0
7803.0,0.0,1.0
31839.0,0.0407,1.0
4338.0,0.0,1.0
15047.0,0.0,1.0
12323.0,0.0,1.0
19731.0,0.0,1.0
25551.0,0.0,1.0
22192.0,0.0,1.0
17480.0,0.0,1.0
20277.0,0.0,1.0
22318.0,0.0,1.0
19315.0,0.0,1.0
20447.0,0.0,1.0
16201.0,0.0,1.0
19243.0,0.0388,1.0
25474.0,0.0,1.0
20515.0,0.0,1.0
9646.0,0.0,1.0
26226.0,0.0,1.0
21850.0,0.0,1.0
18152.0,0.0,1.0
18790.0,0.0402,1.0
2859.0,0.0,1.0
21163.0,0.0,1.0
20190.0,0.0,1.0
3862.0,0.0,1.0
19345.0,0.0319,1.0
11801.0,0.0,1.0
7531.0,0.0049,1.0
25663.0,0.0,1.0
24681.0,0.0,1.0
12022.0,0.0,1.0
24933.0,0.0,1.0
16094.0,0.0,1.0
17092.0,0.0,1.0
21298.0,0.0751,1.0
21997.0,0.0,1.0
16958.0,0.0,1.0
17149.0,0.0763,1.0
21212.0,0.0,1.0
29530.0,0.0379,1.0
30153.0,0.0,8.0
35324.0,0.0302,1.0
10058.0,0.0,1.0
17264.0,0.0,1.0
27908.0,0.0,1.0
15684.0,0.0,1.0
16390.0,0.0,1.0
25379.0,0.0,1.0
1581.0,0.0,1.0
20383.0,0.0,1.0
18555.0,0.0,1.0
14682.0,0.0,1.0
1890.0,0.0,1.0
15046.0,0.0,1.0
20339.0,0.0,1.0
17952.0,0.0,1.0
10354.0,0.0,1.0
7593.0,0.0,1.0
10855.0,0.0,1.0
5358.0,0.0,1.0
21197.0,0.0458,1.0
26128.0,0.0,1.0
12178.0,0.0,1.0
19789.0,0.0,1.0
19784.0,0.0,1.0
13182.0,0.0,1.0
16455.0,0.007,1.0
15239.0,0.0,1.0
26364.0,0.0,1.0
18300.0,0.0,1.0
21761.0,0.0,1.0
16754.0,0.0,1.0
21281.0,0.0,1.0
19866.0,0.0,1.0
15007.0,0.0,1.0
17792.0,0.0,1.0
20643.0,0.0,1.0
16588.0,0.0665,1.0
29946.0,0.0,1.0
18356.0,0.0582,1.0
17179.0,0.0,1.0
17181.0,0.0,1.0
27453.0,0.0142,1.0
13761.0,0.0,1.0
22913.0,0.0,1.0
30179.0,0.0468,1.0
26907.0,0.0,1.0
19962.0,0.1051,1.0
14506.0,0.0,1.0
29564.0,0.0,1.0
27477.0,0.0,1.0
21131.0,0.0,15.0
20476.0,0.0,1.0
25665.0,0.0,1.0
14986.0,0.0,1.0
25416.0,0.0,1.0
21859.0,0.0,1.0
19199.0,0.0,1.0
11341.0,0.0,1.0
13896.0,0.0161,1.0
15010.0,0.0,1.0
10341.0,0.0,1.0
20153.0,0.0,1.0
25667.0,0.0,1.0
19686.0,0.0,1.0
13475.0,0.0,1.0
25862.0,0.0,1.0
11589.0,0.0698,1.0
12760.0,0.0,24.0
13190.0,0.0,1.0
20418.0,0.0411,1.0
1157.0,0.0,1.0
16318.0,0.0,1.0
12575.0,0.0,1.0
