name,position,role,erosp_raw,erosp_startable,actual_pts,proj_rank,actual_rank,error,abs_error,rank_diff
Alex Vesia,RP,RP,163.4,25.3,265.0,305,267,-101.6,101.6,38
Parker Meadows,OF,H,158.8,3.5,116.0,306,353,42.80000000000001,42.80000000000001,-47
J.T. Realmuto,C,H,158.2,33.9,350.25,307,188,-192.05,192.05,119
Jordan Beck,OF,H,154.8,3.1,395.25,308,143,-240.45,240.45,165
Ha-seong Kim,SS,H,153.2,0.4,128.0,309,349,25.19999999999999,25.19999999999999,-40
Miles Mikolas,SP,SP,153.1,2.4,214.0,310,302,-60.900000000000006,60.900000000000006,8
Luis Rengifo,3B,H,152.7,6.9,323.0,311,217,-170.3,170.3,94
Kyle Manzardo,1B,H,152.7,2.6,369.5,311,168,-216.8,216.8,143
Tyler O'Neill,OF,H,150.4,2.8,143.0,313,343,7.400000000000006,7.400000000000006,-30
Logan O'Hoppe,C,H,148.0,26.7,204.75,314,314,-56.75,56.75,0
Nick Castellanos,OF,H,147.7,2.6,418.25,315,130,-270.55,270.55,185
Trevor Story,SS,H,147.1,0.3,536.5,316,51,-389.4,389.4,265
Yu Darvish,SP,SP,142.3,2.1,124.0,317,350,18.30000000000001,18.30000000000001,-33
Andrew Heaney,SP,SP,139.4,1.3,140.0,318,344,-0.5999999999999943,0.5999999999999943,-26
Trevor Rogers,SP,SP,138.7,1.2,356.0,319,181,-217.3,217.3,138
Jake McCarthy,OF,H,138.0,2.0,136.75,320,345,1.25,1.25,-25
Mickey Moniak,OF,H,137.8,2.0,399.25,321,140,-261.45,261.45,181
Walker Buehler,SP,SP,137.0,1.7,171.0,322,328,-34.0,34.0,-6
Victor Scott II,OF,H,135.8,1.9,290.0,323,250,-154.2,154.2,73
Tylor Megill,SP,SP,134.1,1.7,144.0,324,341,-9.900000000000006,9.900000000000006,-17
Jackson Holliday,2B,H,134.1,2.3,432.0,324,118,-297.9,297.9,206
Noelvi Marte,OF,H,131.3,1.6,287.5,326,253,-156.2,156.2,73
Max Muncy,3B,H,129.8,3.7,317.25,327,225,-187.45,187.45,102
Blake Treinen,RP,RP,128.3,10.4,56.0,328,370,72.30000000000001,72.30000000000001,-42
Austin Hays,OF,H,126.7,1.4,336.75,329,202,-210.05,210.05,127
Gavin Sheets,OF,H,125.3,1.4,408.75,330,137,-283.45,283.45,193
Daniel Palencia,RP,RP,119.4,8.2,232.0,331,294,-112.6,112.6,37
Wenceel Perez,OF,H,117.5,1.1,285.75,332,254,-168.25,168.25,78
Garrett Mitchell,OF,H,117.2,1.1,37.25,333,379,79.95,79.95,-46
Will Smith,RP,RP,116.5,7.6,387.0,334,153,-270.5,270.5,181
Mauricio Dubon,2B,H,115.7,1.4,284.5,335,256,-168.8,168.8,79
Mike Yastrzemski,OF,H,114.7,1.0,419.25,336,128,-304.55,304.55,208
Rhys Hoskins,1B,H,112.6,0.8,210.5,337,304,-97.9,97.9,33
Jordan Hicks,SP,SP,111.8,0.9,51.0,338,375,60.8,60.8,-37
JJ Bleday,OF,H,111.5,0.9,220.75,339,298,-109.25,109.25,41
Martin Perez,SP,SP,110.8,0.6,106.0,340,356,4.799999999999997,4.799999999999997,-16
Keibert Ruiz,C,H,108.5,9.7,162.25,341,335,-53.75,53.75,6
Zach McKinstry,3B,H,107.3,1.9,392.0,342,147,-284.7,284.7,195
Luke Weaver,RP,RP,105.4,5.5,243.0,343,284,-137.6,137.6,59
Christopher Morel,OF,H,103.1,0.7,170.0,344,329,-66.9,66.9,15
A.J. Puk,RP,RP,102.9,5.1,46.0,345,377,56.900000000000006,56.900000000000006,-32
Paul Goldschmidt,1B,H,102.4,0.6,414.25,346,134,-311.85,311.85,212
Lenyn Sosa,2B,H,102.1,0.9,386.75,347,155,-284.65,284.65,192
Ryan Walker,RP,RP,101.5,4.9,202.0,348,318,-100.5,100.5,30
Will Vest,RP,RP,99.5,4.7,265.0,349,267,-165.5,165.5,82
Giancarlo Stanton,DH,H,95.0,83.2,254.75,350,278,-159.75,159.75,72
Victor Robles,OF,H,91.4,0.5,70.5,351,366,20.900000000000006,20.900000000000006,-15
Luis Garcia,RP,RP,89.4,3.4,431.5,352,119,-342.1,342.1,233
Carson Kelly,C,H,86.9,5.1,326.75,353,214,-239.85,239.85,139
Garrett Whitlock,RP,RP,77.8,2.4,276.0,354,261,-198.2,198.2,93
Tyler Holton,RP,RP,76.0,2.2,198.0,355,321,-122.0,122.0,34
Luke Jackson,RP,RP,75.0,2.2,120.0,356,352,-45.0,45.0,4
Stephen Kolek,RP,RP,73.7,2.1,241.0,357,286,-167.3,167.3,71
Jose Caballero,SS,H,69.0,0.0,303.0,358,237,-234.0,234.0,121
Kyle Hendricks,SP,SP,68.4,0.2,253.0,359,280,-184.6,184.6,79
Carlos Santana,1B,H,66.5,0.2,319.0,360,222,-252.5,252.5,138
Kris Bubic,RP,RP,66.3,1.6,298.0,361,245,-231.7,231.7,116
Jonny DeLuca,OF,H,55.0,0.1,57.0,362,369,-2.0,2.0,-7
Erik Miller,RP,RP,54.3,1.0,95.0,363,361,-40.7,40.7,2
Edmundo Sosa,2B,H,52.0,0.2,205.0,364,312,-153.0,153.0,52
Emilio Pagan,RP,RP,51.4,0.9,328.0,365,211,-276.6,276.6,154
Jesse Winker,OF,H,48.9,0.1,56.0,366,370,-7.100000000000001,7.100000000000001,-4
Nick Martinez,RP,RP,48.6,0.8,290.0,367,250,-241.4,241.4,117
Nathaniel Lowe,1B,H,45.7,0.1,402.0,368,139,-356.3,356.3,229
Randy Rodriguez,RP,RP,40.1,0.6,201.0,369,320,-160.9,160.9,49
Dane Myers,OF,H,38.8,0.1,216.25,370,300,-177.45,177.45,70
Masataka Yoshida,OF,H,35.9,0.1,159.25,371,337,-123.35,123.35,34
Drew Rasmussen,RP,RP,35.6,0.5,371.0,372,167,-335.4,335.4,205
Matthew Liberatore,RP,RP,29.4,0.3,260.0,373,274,-230.6,230.6,99
Ryan Mountcastle,1B,H,27.2,0.0,206.75,374,307,-179.55,179.55,67
Triston Casas,1B,H,26.2,0.0,52.75,375,374,-26.55,26.55,1
Bowden Francis,RP,RP,25.9,0.3,53.0,376,373,-27.1,27.1,3
Isiah Kiner-Falefa,SS,H,24.4,0.0,301.75,377,240,-277.35,277.35,137
Anthony Santander,OF,H,23.7,0.0,89.5,378,363,-65.8,65.8,15
Wilmer Flores,1B,H,17.2,0.0,335.75,379,203,-318.55,318.55,176
Adrian Houser,RP,RP,16.8,0.1,263.0,380,271,-246.2,246.2,109
Jeimer Candelario,3B,H,10.5,0.0,16.0,381,382,-5.5,5.5,-1
Michael Conforto,OF,H,9.6,0.0,251.25,382,281,-241.65,241.65,101
Dylan Moore,2B,H,8.9,0.0,143.75,383,342,-134.85,134.85,41
